,alpha_001,alpha_002,alpha_003,alpha_004,alpha_005,alpha_006,alpha_007,alpha_008,alpha_009,alpha_010,alpha_011,alpha_012,alpha_013,alpha_014,alpha_015,alpha_016,alpha_017,alpha_018,alpha_019,alpha_020,alpha_021,alpha_022,alpha_024,alpha_026,alpha_027,alpha_028,alpha_029,alpha_031,alpha_032,alpha_033,alpha_034,alpha_035,alpha_036,alpha_037,alpha_038,alpha_039,alpha_040,alpha_041,alpha_042,alpha_043,alpha_044,alpha_045,alpha_046,alpha_047,alpha_048,alpha_049,alpha_050,alpha_051,alpha_052,alpha_053,alpha_054,alpha_055,alpha_056,alpha_057,alpha_058,alpha_059,alpha_060,alpha_061,alpha_062,alpha_063,alpha_064,alpha_065,alpha_066,alpha_067,alpha_068,alpha_069,alpha_070,alpha_071,alpha_072,alpha_073,alpha_074,alpha_075,alpha_076,alpha_077,alpha_078,alpha_079,alpha_080,alpha_081,alpha_082,alpha_083,alpha_084,alpha_085,alpha_086,alpha_087,alpha_088,alpha_089,alpha_090,alpha_091,alpha_092,alpha_093,alpha_094,alpha_095,alpha_096,alpha_097,alpha_098,alpha_099,alpha_100,alpha_101,alpha_102,alpha_103,alpha_104,alpha_105,alpha_106,alpha_107,alpha_108,alpha_109,alpha_110,alpha_111,alpha_112,alpha_113,alpha_114,alpha_115,alpha_116,alpha_118,alpha_119,alpha_120,alpha_121,alpha_122,alpha_123,alpha_124,alpha_125,alpha_126,alpha_127,alpha_128,alpha_129,alpha_130,alpha_131,alpha_132,alpha_133,alpha_134,alpha_135,alpha_137,alpha_138,alpha_139,alpha_140,alpha_141,alpha_142,alpha_144,alpha_145,alpha_146,alpha_147,alpha_148,alpha_150,alpha_151,alpha_152,alpha_153,alpha_154,alpha_155,alpha_156,alpha_157,alpha_158,alpha_159,alpha_160,alpha_161,alpha_162,alpha_163,alpha_164,alpha_165,alpha_166,alpha_167,alpha_168,alpha_169,alpha_170,alpha_171,alpha_172,alpha_173,alpha_174,alpha_175,alpha_176,alpha_177,alpha_178,alpha_179,alpha_180,alpha_181,alpha_182,alpha_183,alpha_184,alpha_185,alpha_186,alpha_187,alpha_188,alpha_189,alpha_190,alpha_191
alpha_063,-0.44168,-0.05632,0.28496,-0.35034,-0.30583,-0.58494,-0.11073,-0.27748,0.08442,0.00547,0.34912,-0.03851,-0.10551,0.28590,0.18047,-0.25740,0.00000,0.71474,0.74135,0.72582,0.23916,0.44920,0.27430,-0.37478,0.64029,0.83313,0.25920,0.81371,-0.11931,-0.21678,-0.83516,-0.42827,0.15985,-0.34969,-0.17018,-0.26114,0.54898,-0.52847,-0.37453,0.43107,0.37800,0.40753,-0.85211,-0.75656,-0.51137,-0.77380,0.77380,0.77380,0.61329,0.63383,-0.25483,0.21826,-0.25091,0.85310,0.55180,-0.00956,0.30164,-0.41498,-0.24278,1.00000,-0.24722,-0.73988,0.73559,0.67763,0.08138,0.56581,0.19571,0.76720,-0.64139,-0.09553,0.20702,-0.31136,-0.03653,-0.15974,0.84490,0.91126,0.23306,0.04128,-0.55656,-0.18060,-0.36780,-0.32371,-0.43164,-0.44987,0.58731,0.25552,-0.27024,0.37465,-0.32358,-0.06190,-0.31345,0.10091,0.72690,0.08233,-0.25335,-0.22393,0.04122,-0.10063,0.33214,-0.46100,-0.10196,-0.13669,0.23712,0.24222,-0.12100,0.41758,0.60091,-0.17530,0.84722,-0.18434,-0.09959,-0.02056,0.19462,0.56250,-0.00274,-0.55395,-0.38835,0.35966,-0.08982,0.05760,-0.21570,0.01222,-0.36633,0.71567,-0.07496,-0.09866,0.23969,0.06527,0.57024,0.25481,-0.15481,0.20789,-0.36431,-0.11504,-0.10596,-0.09411,-0.40404,-0.06768,0.28486,0.13310,0.11684,-0.28089,0.20307,0.08257,-0.13011,0.00094,-0.15202,0.16641,-0.11619,-0.12649,-0.25882,-0.18464,0.04267,-0.03959,0.73879,-0.31564,0.00450,0.00289,-0.02810,-0.07496,-0.33741,0.07715,-0.71012,-0.09195,0.28037,0.00556,-0.33478,0.02937,0.35103,-0.14779,-0.13589,0.17933,-0.67316,0.00207,0.04961,-0.03241,-0.33478,-0.24735,0.21970,0.05601,-0.15687,0.08957,0.11355,-0.37465
alpha_064,0.26285,-0.00962,-0.06575,0.10912,0.32303,0.19615,0.06148,0.07488,-0.01866,0.00168,-0.07026,-0.00123,0.02754,-0.07370,-0.05164,0.31132,0.00119,-0.21371,-0.22270,-0.21608,-0.06592,-0.22242,-0.06422,0.09399,-0.16080,-0.22867,-0.06065,-0.23123,0.17038,0.05642,0.24138,0.22519,-0.41205,0.14721,0.03740,0.10767,-0.05794,0.26929,0.21829,-0.11653,-0.19981,-0.12817,0.21605,0.16092,0.16355,0.20081,-0.20081,-0.20081,-0.04225,-0.14475,0.05030,-0.03059,0.12658,-0.22319,-0.08771,0.00689,-0.06161,0.20785,0.42197,-0.24722,1.00000,0.21097,-0.20715,-0.09260,-0.01573,-0.08605,-0.09114,-0.16228,0.11081,0.13461,-0.47942,-0.00219,-0.02044,0.03032,-0.28444,-0.18090,-0.12080,-0.00435,0.08288,0.48404,0.06386,0.13101,0.17257,0.19212,-0.08443,-0.09318,0.76222,-0.10966,0.12264,0.02516,0.02350,-0.00163,-0.18064,-0.05002,0.08036,0.46782,-0.01405,0.21560,-0.10939,0.09955,0.23889,0.15168,-0.03347,-0.07221,-0.00898,-0.17381,-0.09950,0.02896,-0.21250,0.07113,0.00517,0.16633,-0.02863,-0.08782,0.08907,0.13207,0.13308,0.03099,0.16796,-0.01257,0.11232,0.00142,0.07458,-0.16666,0.03476,0.25972,-0.06091,0.02219,-0.13378,-0.05278,-0.09963,-0.04614,0.12083,0.12488,0.02533,0.09775,0.12189,-0.02104,-0.13424,-0.04034,0.00786,0.15832,-0.02589,0.04296,-0.08702,-0.00451,0.05939,-0.09777,0.10315,0.04710,0.05217,0.02289,0.00622,-0.00642,-0.26268,0.06164,-0.00245,0.00874,0.14245,0.03476,0.14620,0.00905,0.23075,0.00926,-0.05083,-0.00087,0.09109,0.00568,-0.36459,0.01601,-0.01397,-0.34987,0.22012,0.00583,0.00079,0.02707,0.09109,0.03575,0.00064,0.00643,-0.09618,-0.07085,-0.06354,0.10966
alpha_065,0.29468,0.06051,-0.37364,0.31939,0.17000,0.49714,0.20103,0.43498,-0.14185,-0.00975,-0.31852,0.07405,0.18408,-0.42989,-0.34418,0.16935,-0.00000,-0.88808,-0.89628,-0.80650,-0.18697,-0.67362,-0.25121,0.51233,-0.42865,-0.65962,-0.35316,-0.86056,0.14086,0.16417,0.86811,0.32867,-0.14291,0.48950,0.32840,0.37875,-0.34976,0.43856,0.30633,-0.37490,-0.37874,-0.47571,0.89158,0.42010,0.56400,0.44015,-0.44015,-0.44015,-0.39313,-0.37709,0.33551,-0.18286,0.23450,-0.53790,-0.29896,-0.00041,-0.17635,0.38936,0.19575,-0.73988,0.21097,1.00000,-0.99550,-0.38397,-0.11300,-0.27297,-0.18161,-0.66144,0.32657,0.00683,-0.17606,0.16885,0.03688,0.10605,-0.67564,-0.59433,-0.28622,-0.01920,0.27309,0.17222,0.20966,0.37865,0.38929,0.42603,-0.42979,-0.26846,0.23162,-0.48074,0.46810,0.04803,0.18529,-0.07213,-0.34129,-0.05381,0.38312,0.22205,-0.02272,0.03443,-0.30310,0.18637,0.18220,0.07349,-0.21024,-0.30735,0.12807,-0.32593,-0.39480,0.25783,-0.50543,0.18043,0.14208,-0.01339,-0.10556,-0.35291,-0.02968,0.35966,0.31709,-0.11857,0.07749,-0.08286,0.15730,-0.02607,0.17055,-0.40133,0.07623,0.05817,-0.32104,-0.03632,-0.25330,-0.28179,0.03192,-0.38177,0.23476,0.15022,0.14520,0.08955,0.43917,0.02729,-0.14121,-0.23552,-0.01495,0.15181,-0.22858,-0.03729,0.03884,0.00735,0.09670,-0.18683,-0.01268,0.11323,0.24414,0.07900,-0.04050,0.03090,-0.66068,0.40202,0.00187,0.00877,0.01534,0.07623,0.33883,-0.00877,0.68875,0.10652,-0.10577,-0.00319,0.42567,-0.01196,-0.22014,0.17836,0.11715,-0.17810,0.58281,-0.01549,-0.02424,0.05150,0.42567,0.30019,-0.07320,-0.04202,-0.04878,-0.07851,-0.14032,0.48074
alpha_066,-0.28887,-0.06099,0.38069,-0.31209,-0.16856,-0.49111,-0.21625,-0.44098,0.14805,0.01216,0.32242,-0.08278,-0.18745,0.43704,0.33919,-0.17105,0.00000,0.89875,0.89718,0.81958,0.19519,0.66964,0.26152,-0.51252,0.44516,0.65283,0.37525,0.87220,-0.13595,-0.16421,-0.86817,-0.32852,0.13899,-0.48652,-0.34626,-0.37086,0.36156,-0.44083,-0.31125,0.37891,0.37415,0.47173,-0.89286,-0.42124,-0.56773,-0.43987,0.43987,0.43987,0.40634,0.37801,-0.34002,0.19422,-0.23238,0.53513,0.30289,0.00620,0.17913,-0.38300,-0.19060,0.73559,-0.20715,-0.99550,1.00000,0.38818,0.12029,0.27642,0.20583,0.67523,-0.33052,-0.00408,0.17355,-0.17212,-0.02467,-0.10887,0.66980,0.59529,0.30693,0.02287,-0.27858,-0.16778,-0.21570,-0.36959,-0.39344,-0.42248,0.44507,0.27424,-0.22914,0.48030,-0.46083,-0.03903,-0.19132,0.09145,0.34249,0.06083,-0.38592,-0.21701,0.02701,-0.03278,0.32053,-0.18382,-0.17564,-0.07615,0.22348,0.31074,-0.13442,0.34917,0.40650,-0.25997,0.50504,-0.17977,-0.14584,0.01583,0.11760,0.36435,0.03256,-0.34912,-0.31149,0.13244,-0.07723,0.08248,-0.15390,0.03252,-0.15655,0.40323,-0.06367,-0.05641,0.31725,0.05239,0.25683,0.30428,-0.04808,0.38751,-0.22982,-0.15362,-0.14127,-0.08825,-0.44053,-0.02997,0.14985,0.25351,0.02548,-0.14985,0.25476,0.04923,-0.03937,-0.01361,-0.09832,0.19672,-0.00473,-0.11144,-0.28560,-0.10129,0.05100,-0.04480,0.65162,-0.39733,-0.00231,-0.01249,-0.01488,-0.06367,-0.36251,0.01358,-0.67593,-0.10861,0.11466,0.00338,-0.42249,0.01209,0.21978,-0.19946,-0.11646,0.17751,-0.58376,0.01510,0.02840,-0.05696,-0.42249,-0.29951,0.08150,0.05588,0.06313,0.11209,0.14103,-0.48030
alpha_067,-0.24729,-0.01668,0.16849,-0.20774,-0.18305,-0.28307,-0.09204,-0.15760,0.05038,0.01777,0.19258,-0.03893,-0.02809,0.16847,0.07376,-0.16677,-0.00000,0.41012,0.41358,0.44449,0.18597,0.18760,0.21825,-0.27840,0.58723,0.40690,0.19949,0.55659,-0.02991,-0.20686,-0.55941,-0.22830,0.03452,-0.08943,-0.10238,-0.08532,0.63525,-0.24049,-0.32369,0.23981,0.13588,0.15593,-0.68366,-0.54489,-0.19969,-0.58598,0.58598,0.58598,0.79135,0.44269,-0.10839,0.25846,-0.01122,0.52647,0.54086,0.02061,0.30279,-0.14484,-0.14404,0.67763,-0.09260,-0.38397,0.38818,1.00000,0.05889,0.62392,0.22574,0.75251,-0.53251,-0.04925,0.09272,-0.49279,-0.05216,-0.08753,0.51494,0.89700,0.09283,0.09014,-0.49496,-0.03770,-0.39633,-0.15414,-0.20516,-0.16511,0.68638,0.12849,-0.10456,0.15165,-0.08254,-0.00817,-0.43052,0.24022,0.54204,0.11799,-0.16401,-0.04159,0.10921,-0.11229,0.25815,-0.51475,-0.03147,-0.18944,0.28340,0.09203,-0.04865,0.29383,0.64188,-0.06782,0.61506,-0.15019,-0.05599,0.03336,0.25481,0.59085,0.01757,-0.33768,-0.18512,0.51770,-0.14114,0.04220,-0.08280,0.02698,-0.29679,0.56860,0.00786,-0.02219,0.04823,0.20988,0.61712,0.25753,-0.50154,0.09652,-0.17914,-0.14207,0.00507,-0.04342,-0.13321,-0.15488,0.25120,0.07101,0.22403,-0.21483,0.22888,0.23325,-0.26166,-0.03206,-0.07217,0.06725,-0.08520,-0.04734,-0.23044,-0.30648,0.10140,-0.10171,0.13833,-0.07585,0.00958,0.04977,-0.00624,0.00786,-0.19334,0.07252,-0.37024,-0.03780,0.34572,0.00153,-0.13372,0.02906,0.24696,-0.19560,-0.05660,0.05451,-0.49412,-0.01093,0.03894,0.02676,-0.13372,-0.05969,0.37195,0.13708,-0.46735,0.04274,-0.00413,-0.15165
alpha_068,-0.04120,0.01218,0.66342,-0.02634,-0.03159,-0.05697,-0.10076,-0.64874,0.91583,0.22410,0.00509,-0.62348,-0.01621,0.66712,0.01384,-0.03260,-0.00000,0.13863,0.12801,0.14537,0.66161,0.07034,0.75333,-0.64518,0.15511,0.07235,0.00438,0.15338,-0.00156,-0.30372,-0.14105,-0.05343,0.01658,-0.02840,-0.46571,-0.03630,0.07635,-0.05340,-0.04134,0.00233,0.04192,0.02446,-0.14372,-0.08248,-0.02835,-0.07649,0.07649,0.07649,0.10889,0.06181,-0.02126,0.66243,-0.03247,0.08224,0.06060,0.13880,0.00521,-0.04087,-0.02003,0.08138,-0.01573,-0.11300,0.12029,0.05889,1.00000,0.05808,0.10809,0.17351,-0.07337,-0.01042,0.01226,-0.06542,0.02368,-0.00267,0.07236,0.07802,0.00574,-0.01504,-0.06481,-0.00842,-0.00061,-0.02508,-0.06378,-0.04997,0.16173,0.63557,-0.01978,0.01972,-0.03909,0.08838,-0.00034,0.09158,0.07700,-0.01191,-0.43706,-0.01170,-0.01276,-0.00070,0.01322,-0.03792,-0.01010,-0.01643,0.66549,0.02072,0.00442,0.05005,0.07304,-0.00120,0.08144,-0.01932,-0.11296,-0.00527,0.60266,0.09802,0.00781,-0.03457,-0.03521,0.05157,-0.01672,0.06537,-0.02138,0.19487,-0.02220,0.05989,0.11459,-0.00758,0.01271,0.08145,0.05365,0.00533,-0.07570,0.37033,-0.02567,-0.01544,-0.00909,0.00387,-0.01898,0.00515,0.02852,0.01819,0.42217,-0.03387,0.13483,0.35462,-0.05412,-0.16490,-0.01717,0.00071,-0.02090,-0.01189,-0.07913,-0.04458,0.31781,-0.33562,0.04787,-0.00942,-0.00060,-0.00615,-0.01531,0.11459,-0.01962,0.28484,-0.05773,-0.00817,0.03858,0.00646,-0.03661,0.00150,0.02951,-0.68310,-0.00090,0.01584,-0.06563,-0.00155,0.00318,0.00632,-0.03661,-0.00245,0.03474,0.33514,-0.02718,0.00640,-0.00293,-0.01972
alpha_069,-0.28770,0.07418,0.12353,-0.17636,-0.30692,-0.30190,-0.08477,-0.12252,0.04280,0.01836,0.12355,-0.02399,-0.02453,0.12431,0.06102,-0.28189,-0.00000,0.32708,0.32995,0.35980,0.16447,0.07499,0.20270,-0.18419,0.55465,0.30103,0.13613,0.42936,-0.02439,-0.17225,-0.43291,-0.17217,0.02554,0.11573,-0.07049,0.08257,0.60420,-0.11546,-0.36265,0.21096,0.03283,-0.01769,-0.49738,-0.62542,-0.03316,-0.60741,0.60741,0.60741,0.68617,0.48709,0.02342,0.25094,-0.11793,0.49444,0.65105,0.03505,0.28281,-0.02103,-0.21062,0.56581,-0.08605,-0.27297,0.27642,0.62392,0.05808,1.00000,0.22909,0.61373,-0.65701,-0.10280,0.04258,-0.37992,-0.04359,-0.06090,0.46718,0.70588,0.04548,0.05403,-0.63324,-0.02481,-0.43169,-0.10652,-0.04152,-0.03231,0.64783,0.14398,-0.06766,-0.02166,0.06476,-0.04558,-0.37194,0.22148,0.58108,0.08450,-0.10437,-0.01772,0.07585,-0.08554,0.05029,-0.61670,-0.00558,-0.27964,0.25900,0.04716,0.00828,0.23005,0.68241,0.04954,0.60393,-0.12887,-0.00079,0.02486,0.23645,0.68644,-0.00722,-0.27159,-0.09118,0.61211,-0.05423,0.00494,-0.00882,0.05322,-0.33658,0.61668,0.02926,-0.05618,-0.05098,0.18202,0.71686,0.18870,-0.36671,0.05180,-0.17157,-0.20250,0.07876,-0.06037,0.03406,-0.13506,0.25399,0.00342,0.22565,-0.13780,0.21693,0.17302,-0.35138,-0.04414,-0.18859,0.02523,-0.06980,0.05490,-0.24538,-0.31353,0.08231,-0.10335,0.11319,0.09045,0.01371,0.00725,-0.01271,0.02926,-0.09776,0.16656,-0.20579,-0.00841,0.42116,0.00253,0.02645,0.03775,0.25926,-0.15105,0.03955,0.03669,-0.35478,-0.04017,0.15556,-0.04419,0.02645,0.08955,0.45184,0.14424,-0.40288,0.00218,-0.04715,0.02166
alpha_070,-0.09819,0.01080,0.17144,-0.03394,-0.12625,-0.09909,-0.25461,-0.17819,0.08292,0.19122,0.01936,-0.07961,-0.03558,0.18286,0.02886,-0.13498,-0.00000,0.25287,0.22712,0.27788,0.20614,0.05274,0.25017,-0.17670,0.35723,0.10965,0.24649,0.29920,0.00897,-0.09977,-0.26883,-0.10395,0.04769,-0.04818,-0.18395,-0.02730,0.23765,-0.15603,-0.21149,0.16956,0.06315,0.03448,-0.27801,-0.18196,-0.11122,-0.19725,0.19725,0.19725,0.30205,0.15842,-0.06332,0.23266,-0.05480,0.15269,0.17865,0.28183,0.03260,-0.05525,-0.11270,0.19571,-0.09114,-0.18161,0.20583,0.22574,0.10809,0.22909,1.00000,0.36204,-0.20048,-0.03701,0.06006,-0.10621,0.05978,-0.04659,0.17715,0.23834,0.16294,0.28948,-0.20779,-0.04778,-0.22601,-0.04588,-0.15564,-0.06038,0.36862,0.09771,-0.07240,0.01699,-0.02318,0.29475,-0.23360,0.84991,0.16449,0.34875,-0.10681,-0.04249,0.28567,-0.03067,0.11542,-0.12249,-0.03209,-0.12203,0.29121,0.04475,-0.01110,0.26335,0.30210,0.02923,0.20251,-0.05993,-0.00356,-0.00381,0.26512,0.28205,0.01599,-0.07830,-0.09229,0.28739,-0.04520,0.02726,-0.04399,0.29708,0.12858,0.18778,0.34646,-0.02080,-0.01786,0.78082,0.18686,0.28746,-0.35848,0.08514,-0.07178,-0.13093,-0.00887,-0.02428,-0.01146,-0.35854,0.22459,0.03784,0.24078,-0.08232,0.84982,0.34065,-0.04284,-0.29191,-0.07540,0.17276,-0.11137,-0.02731,-0.41511,-0.37292,0.37068,-0.40310,0.04379,0.00549,-0.00440,-0.00496,-0.00721,0.34646,-0.19933,0.06901,-0.07943,-0.02470,0.20572,0.00153,-0.03122,0.00378,0.13306,-0.39982,-0.00894,0.04357,-0.20757,-0.00892,0.18321,0.01199,-0.03122,0.00895,0.19874,0.41984,-0.07787,0.06326,-0.00178,-0.01699
alpha_071,-0.33537,-0.01054,0.36326,-0.20534,-0.28539,-0.40617,-0.19857,-0.35319,0.14969,0.03558,0.25341,-0.11468,-0.08562,0.36965,0.16731,-0.24801,-0.00000,0.72852,0.71384,0.77611,0.39444,0.38359,0.46239,-0.38554,0.92214,0.53738,0.34768,0.88266,-0.04685,-0.23954,-0.86885,-0.34150,0.07508,-0.09551,-0.23999,-0.04174,0.61859,-0.34166,-0.39731,0.34448,0.20553,0.21872,-0.91479,-0.73915,-0.27106,-0.72480,0.72480,0.72480,0.76777,0.54525,-0.15631,0.42616,-0.20046,0.68483,0.55351,0.03556,0.31424,-0.25297,-0.18088,0.76720,-0.16228,-0.66144,0.67523,0.75251,0.17351,0.61373,0.36204,1.00000,-0.71414,-0.08993,0.16084,-0.31101,-0.05276,-0.11515,0.66638,0.84803,0.15518,0.09749,-0.66525,-0.06651,-0.42545,-0.17140,-0.31368,-0.24349,0.90642,0.38845,-0.16460,0.16584,-0.16764,-0.03170,-0.36494,0.28976,0.69909,0.13542,-0.25370,-0.08719,0.10121,-0.05414,0.20951,-0.52512,-0.04145,-0.19364,0.46216,0.11727,-0.04286,0.42862,0.72394,-0.05029,0.75493,-0.15595,-0.08232,0.02673,0.43155,0.65491,0.01637,-0.37318,-0.24878,0.66129,-0.04571,0.04944,-0.10511,0.07627,-0.44709,0.67681,-0.00451,-0.03708,0.04412,0.22283,0.64724,0.43182,-0.40210,0.22524,-0.29369,-0.16289,-0.00244,-0.06524,-0.16412,-0.13131,0.36390,0.11358,0.34177,-0.26209,0.40152,0.24928,-0.30409,-0.05582,-0.13582,0.14665,-0.14179,-0.02309,-0.40607,-0.26541,0.13939,-0.16283,0.38124,-0.10155,0.00023,0.01949,-0.01735,-0.00451,-0.28171,0.22621,-0.42935,-0.05866,0.44056,0.00154,-0.25979,0.01689,0.27975,-0.35633,-0.05153,0.09545,-0.54820,-0.01573,0.06238,0.03684,-0.25979,-0.07146,0.41147,0.19310,-0.35327,0.06343,0.01404,-0.16584
alpha_072,0.29380,-0.03681,-0.18205,0.20554,0.20687,0.40104,0.06580,0.15600,-0.05336,-0.00354,-0.24894,0.03482,0.04855,-0.16498,-0.04554,0.12144,0.00000,-0.41357,-0.42326,-0.46852,-0.23525,-0.01137,-0.26830,0.20132,-0.67370,-0.51756,-0.16591,-0.55032,0.02120,0.19875,0.55884,0.25096,-0.05806,0.00163,0.06307,-0.01453,-0.62358,0.27342,0.22670,-0.27332,-0.13410,-0.03962,0.60091,0.95480,0.08168,0.74082,-0.74082,-0.74082,-0.73275,-0.58904,0.00036,-0.26433,0.17642,-0.76058,-0.64314,0.00918,-0.41162,0.14119,0.09011,-0.64139,0.11081,0.32657,-0.33052,-0.53251,-0.07337,-0.65701,-0.20048,-0.71414,1.00000,0.07159,-0.07074,0.49156,0.02688,0.10909,-0.53970,-0.69431,-0.04588,-0.06994,0.98281,0.03352,0.42099,0.06249,0.19283,0.15886,-0.66870,-0.18995,0.10113,-0.01243,-0.01303,0.04017,0.40829,-0.15030,-0.84435,-0.07166,0.11055,0.04056,-0.04471,0.01808,-0.05525,0.61836,0.00712,0.07529,-0.27981,-0.02297,-0.02738,-0.27160,-0.58938,-0.05434,-0.73897,0.11916,0.02689,-0.00606,-0.27560,-0.56255,-0.00259,0.34981,0.19475,-0.59404,0.01124,-0.02423,0.12437,-0.01887,0.40688,-0.71713,0.01804,0.05520,0.05707,-0.14910,-0.72407,-0.22713,0.41353,-0.05743,0.26593,0.00659,-0.05425,0.02072,0.03861,0.10917,-0.27864,-0.05127,-0.23317,0.16451,-0.21764,-0.20965,0.26916,0.00027,0.15358,-0.06743,0.15499,0.03419,0.26034,0.26480,-0.04850,0.08254,-0.27406,-0.05917,-0.01027,-0.04366,0.20905,0.01804,0.13919,-0.14760,0.30255,0.02183,-0.41305,0.00058,0.05841,-0.02689,-0.19861,0.16756,-0.02452,-0.05504,0.42182,0.02184,-0.05135,-0.04271,0.05841,-0.05333,-0.39658,-0.11019,0.45047,-0.02388,0.00896,0.01243
alpha_073,0.18082,-0.00555,-0.01484,0.02699,0.21570,0.04847,0.03428,0.00704,-0.00630,-0.00500,0.00377,-0.00168,-0.01064,-0.01412,0.00090,0.23063,-0.00000,-0.03995,-0.04401,-0.06886,-0.04820,-0.00604,-0.04392,-0.03582,-0.13484,-0.02599,-0.00629,-0.07976,-0.03567,0.01608,0.08733,0.22326,-0.06811,-0.03754,-0.02260,-0.02185,-0.02487,0.11128,0.30052,-0.00752,-0.05914,0.00284,0.07297,0.08755,-0.02201,0.17723,-0.17723,-0.17723,-0.02809,-0.05859,-0.02314,-0.02507,0.04402,-0.07865,-0.05389,-0.00159,-0.01948,0.07765,0.10855,-0.09553,0.13461,0.00683,-0.00408,-0.04925,-0.01042,-0.10280,-0.03701,-0.08993,0.07159,1.00000,-0.11313,-0.01147,0.02047,0.11228,-0.10803,-0.08895,0.01775,-0.00053,0.05697,0.06432,0.02391,0.00949,0.07946,0.06460,-0.06671,-0.05197,0.12434,0.14211,0.01343,0.01421,0.00826,-0.01308,-0.11172,-0.03886,0.02310,0.08503,-0.01393,0.22348,0.01209,0.14902,-0.12532,0.24356,-0.02262,0.01374,0.01010,-0.03959,-0.07227,-0.03823,-0.16259,-0.00196,-0.00750,0.19487,-0.03485,-0.05037,0.23244,0.06604,0.04729,-0.04407,0.05910,-0.00100,0.06915,-0.00440,0.07766,-0.12972,0.01429,0.11651,0.00452,0.00376,-0.16344,-0.01695,-0.02645,0.01004,0.13535,0.27505,0.03669,0.13094,-0.01601,-0.00422,-0.11042,0.04155,-0.01918,0.13409,-0.00277,0.01001,-0.02469,0.00336,0.04000,-0.00702,0.07635,0.03003,-0.00253,0.02800,-0.00230,0.00297,-0.03066,-0.04183,-0.01317,-0.03084,0.09932,0.01429,0.00943,-0.00937,0.05212,-0.00114,-0.04476,-0.00594,0.01327,0.00007,-0.18093,0.00121,0.08221,-0.03541,0.06384,0.00453,-0.00660,0.01249,0.01327,-0.02745,-0.02914,-0.00479,0.02108,0.00916,-0.00006,-0.14211
alpha_074,-0.18591,0.00241,0.04888,-0.09124,-0.24726,-0.12985,-0.04708,-0.05522,0.01944,-0.01043,0.05710,-0.00132,-0.02236,0.05534,0.06513,-0.23712,0.00000,0.16989,0.17715,0.17969,0.04979,0.15813,0.04921,-0.06914,0.16216,0.17209,0.07281,0.20752,-0.08216,-0.05633,-0.21551,-0.19351,0.32814,-0.10943,-0.02568,-0.18812,0.04091,-0.19037,-0.17136,0.10334,0.13215,0.14323,-0.19754,-0.11033,-0.11007,-0.16247,0.16247,0.16247,0.05438,0.11425,-0.02757,0.02334,0.20257,0.16555,0.07148,-0.01230,0.06741,-0.20965,-0.34421,0.20702,-0.47942,-0.17606,0.17355,0.09272,0.01226,0.04258,0.06006,0.16084,-0.07074,-0.11313,1.00000,0.00659,0.02604,0.00187,0.23002,0.15353,0.07138,0.00537,-0.04735,-0.41413,-0.07255,-0.16131,-0.15357,-0.16970,0.10218,0.07967,-0.56797,0.09624,-0.12237,-0.02537,-0.01291,0.01116,0.13140,0.04036,-0.05218,-0.40513,0.02239,-0.02079,0.06420,-0.10289,-0.19482,-0.14287,0.02595,0.07114,-0.02379,0.07756,0.10280,-0.02586,0.17923,-0.08113,-0.01370,-0.15728,0.02337,0.08023,-0.06274,-0.10877,-0.05579,-0.00885,0.02979,0.00894,0.01215,-0.00731,-0.05801,0.12321,-0.03190,-0.15765,-0.06218,-0.02099,0.09333,0.07428,0.09137,0.04883,-0.09182,-0.11116,-0.01293,-0.08591,-0.13873,0.01542,0.11785,0.03464,-0.00201,-0.14127,0.01671,-0.03950,0.06691,0.01002,0.00581,0.05661,-0.04996,-0.03728,-0.01136,0.01989,-0.00638,0.00946,0.20665,-0.07929,0.00827,-0.01297,-0.06856,-0.03190,-0.08350,-0.00070,-0.20203,-0.00745,0.06150,-0.00751,-0.10824,0.00555,0.33409,-0.02041,-0.02689,0.22273,-0.17689,0.01971,-0.03266,0.07092,-0.10824,-0.03742,0.04331,-0.01076,0.05437,0.02956,0.01340,-0.09624
